case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__sensitive_exfil__r010,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_5:effect_count=2|random_7:effect_count=2|random_9:effect_count=2
record_update__sensitive_exfil__r010,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r011,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r011,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r011,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_3:effect_count=2
record_update__sensitive_exfil__r011,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r012,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r012,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r012,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2
record_update__sensitive_exfil__r012,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r013,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r013,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r013,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_9:effect_count=2
record_update__sensitive_exfil__r013,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r014,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r014,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r014,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_5:effect_count=2
record_update__sensitive_exfil__r014,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
