service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,contact_update,target_ne,payload_constant_both_1,service,contact_update--payload_constant_both_1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_flip_p1,service,contact_update--target_flip_p1,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,target_flip_p2,service,contact_update--target_flip_p2,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,target_flip_both,service,contact_update--target_flip_both,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_flip_p1,service,contact_update--payload_flip_p1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_flip_p2,service,contact_update--payload_flip_p2,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_flip_both,service,contact_update--payload_flip_both,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_from_payload_p1,service,contact_update--target_from_payload_p1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_from_payload_p2,service,contact_update--target_from_payload_p2,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_from_payload_both,service,contact_update--target_from_payload_both,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_from_target_p1,service,contact_update--payload_from_target_p1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_from_target_p2,service,contact_update--payload_from_target_p2,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_from_target_both,service,contact_update--payload_from_target_both,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,observer_drop_p1,observer_loss,contact_update--observer_drop_p1,True,global_bijection,identity,False,False,False,False,False,True,True
sqlite,contact_update,target_ne,observer_duplicate_p1,observer_retry,contact_update--observer_duplicate_p1,True,global_bijection,identity,False,False,False,False,False,True,True
sqlite,contact_update,target_ne,undeclared_probe_local_projection,projection,contact_update--undeclared_probe_local_projection,True,global_bijection,identity,False,False,False,True,False,True,True
sqlite,contact_update,target_ne,masked_missing_p1,observer_masking,contact_update--masked_missing_p1,True,global_bijection,identity,True,True,True,True,False,False,False
sqlite,contact_update,target_ne,masked_duplicate_p1,observer_masking,contact_update--masked_duplicate_p1,True,global_bijection,identity,True,True,True,True,False,False,False
sqlite,contact_update,target_ne,masked_target_flip_p1,observer_masking,contact_update--masked_target_flip_p1,True,global_bijection,identity,True,True,True,True,False,False,False
sqlite,contact_update,target_ne,masked_forbidden_p1,observer_masking,contact_update--masked_forbidden_p1,True,global_bijection,identity,True,True,True,True,False,False,False
sqlite,task_assign,payload_eq,clean,clean,task_assign--clean,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,missing_p1,service,task_assign--missing_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,missing_p2,service,task_assign--missing_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,missing_both,service,task_assign--missing_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,duplicate_p1,service,task_assign--duplicate_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,duplicate_p2,service,task_assign--duplicate_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,duplicate_both,service,task_assign--duplicate_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,forbidden_p1,service,task_assign--forbidden_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,forbidden_p2,service,task_assign--forbidden_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,forbidden_both,service,task_assign--forbidden_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,task_assign,payload_eq,target_constant_p1_0,service,task_assign--target_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_constant_p1_1,service,task_assign--target_constant_p1_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_constant_p2_0,service,task_assign--target_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_constant_p2_1,service,task_assign--target_constant_p2_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_constant_both_0,service,task_assign--target_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_constant_both_1,service,task_assign--target_constant_both_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_constant_p1_0,service,task_assign--payload_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_constant_p1_1,service,task_assign--payload_constant_p1_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,payload_constant_p2_0,service,task_assign--payload_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_constant_p2_1,service,task_assign--payload_constant_p2_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,payload_constant_both_0,service,task_assign--payload_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_constant_both_1,service,task_assign--payload_constant_both_1,True,identity,identity,True,True,True,True,False,True,True
